"Electorate","State","10-19_Male","10-19_Female","20-29_Male","20-29_Female","30-39_Male","30-39_Female","40-49_Male","40-49_Female","50-59_Male","50-59_Female","60-69_Male","60-69_Female","70-79_Male","70-79_Female","80-89_Male","80-89_Female","90-99_Male","90-99_Female","100_plus_Male","100_plus_Female","Total_Male","Total_Female"
"MARIBYRNONG","VIC",9049,8806,12366,11624,10842,11213,10401,10807,8982,9580,6906,7366,4599,5468,2409,3507,282,635,9,14,65849,69016
"MELBOURNE PORTS","VIC",4662,4588,15050,16281,15417,15128,9917,9614,7552,7701,5934,5716,2814,3129,1598,2323,283,625,8,26,63250,65134
"HIGGINS","VIC",6658,6444,13429,14196,11437,11497,9404,9896,7695,8426,5873,6576,3628,4316,2018,3150,324,808,3,19,60470,65333
"KOOYONG","VIC",9602,9195,11121,10714,7657,8420,9259,10850,8605,9429,6300,6780,3476,4313,2234,3688,404,1148,4,52,58669,64588
"MENZIES","VIC",9262,8476,8037,7670,6978,7620,9459,10699,8743,9537,7194,8118,5081,5344,2169,2856,259,721,11,17,57197,61055
"DEAKIN","VIC",7993,7680,8762,8404,9760,10239,9479,10097,7861,8561,6523,7681,4366,5313,2452,3845,380,901,3,30,57581,62741
"CHISHOLM","VIC",8466,8530,15143,13540,9816,9862,9724,10614,7942,8725,5840,6981,4811,6077,3027,4417,379,845,7,25,65160,69619
"GOLDSTEIN","VIC",9087,8292,7466,7256,7592,8710,10734,12004,9210,9858,6883,7387,3713,4594,2608,4320,507,1180,3,32,57810,63645
"HOTHAM","VIC",8611,7835,10973,9695,10135,10335,9975,10380,8441,8922,6292,6988,4351,5096,2609,3714,304,700,4,17,61697,63676
"ISAACS","VIC",8902,8545,9007,8889,10400,10937,10439,10897,8501,8780,6234,6695,3460,4192,1901,3003,286,738,11,22,59141,62698
"JAGAJAGA","VIC",8862,8335,8982,8637,8941,9538,9593,10576,9129,9972,6857,7306,3602,4339,1969,3083,269,722,3,25,58218,62532
"SCULLIN","VIC",10319,9782,11076,10773,10152,10422,10435,11101,9064,9656,6663,6784,3642,3980,1454,1951,147,341,10,14,62958,64805
"CALWELL","VIC",12601,12078,11785,11182,10045,10689,11528,12245,9566,9801,6437,6574,3267,3490,1152,1601,105,194,4,6,66501,67868
"GORTON","VIC",11652,11033,12324,12488,14424,14820,11237,11661,8852,9342,5894,5727,2279,2325,705,1177,80,183,0,3,67458,68755
"ASTON","VIC",9407,9139,8802,8543,8459,8834,9573,10402,8992,9651,6341,6608,3211,3540,1391,2125,193,488,3,10,56376,59339
"LA TROBE","VIC",11462,10832,8096,7944,9572,10753,11412,11971,9219,9263,5942,6123,2808,2992,1256,1774,186,392,0,9,59945,62046
"HOLT","VIC",12762,11752,12035,12376,12778,12904,11778,12097,9591,9606,5836,5849,2753,3201,1159,1678,124,325,0,12,68824,69796
"BRUCE","VIC",9537,8520,12191,10733,10066,9564,9661,10009,8872,9454,7543,8189,5150,5510,2171,3212,281,641,9,15,65481,65842
"GELLIBRAND","VIC",8004,7369,12618,11176,13281,12939,11333,11088,8844,8823,6036,6220,4039,4730,2219,3162,280,631,9,8,66655,66149
"LALOR","VIC",11967,11557,13594,14136,16127,16094,12952,12839,9157,9261,5596,5631,2495,2707,911,1440,98,251,0,7,72886,73916
"DUNKLEY","VIC",9130,8848,8172,8303,8629,9078,9720,10551,8825,9532,7408,8320,4443,5223,2202,3233,353,734,3,29,58881,63854
"MALLEE","VIC",9765,9350,6953,6775,6998,7600,9001,9325,9702,9396,7998,7855,5182,5668,2729,3898,336,812,7,32,58679,60720
"BOWMAN","QLD",10306,9787,7799,7647,7878,8550,9737,10843,9388,10053,7499,7707,3822,4198,1915,2770,273,595,3,20,58617,62162
"BONNER","QLD",9524,9245,9362,9378,9682,10452,10206,10748,8484,8936,6340,6686,3651,4296,1783,2941,246,657,3,11,59278,63352
"GRIFFITH","QLD",7294,6961,14980,15224,13520,12956,10206,10197,7547,7713,4887,4941,2540,2937,1445,2429,210,517,0,21,62638,63902
"PETRIE","QLD",9323,8968,8187,8555,9144,10018,9473,10062,7998,8702,6974,7670,3975,4853,2020,3216,273,693,7,26,57364,62764
"LILLEY","QLD",8802,8108,10711,10750,11059,11351,10174,10489,8408,8930,6126,6746,3822,4918,2310,3723,335,851,3,19,61748,65898
